fdate,ahn_fans
2017-01-01,94422.0
2017-01-02,94426.0
2017-01-03,94457.0
2017-01-04,94490.0
2017-01-05,94780.0
2017-01-06,94920.0
2017-01-07,94981.0
2017-01-08,95015.0
2017-01-09,95053.0
2017-01-10,95093.0
2017-01-11,95117.0
2017-01-12,95162.0
2017-01-13,95192.0
2017-01-14,95221.0
2017-01-15,95238.0
2017-01-16,95264.0
2017-01-17,95281.0
2017-01-18,95304.0
2017-01-19,95370.0
2017-01-20,95415.0
2017-01-21,95437.0
2017-01-22,95474.0
2017-01-23,95526.0
2017-01-24,95547.0
2017-01-25,95627.0
2017-01-26,95674.0
2017-01-27,95725.0
2017-01-28,95802.0
2017-01-29,95871.0
2017-01-30,96451.0
2017-01-31,96514.0
2017-02-01,96546.0
2017-02-02,96690.0
2017-02-03,96733.0
2017-02-04,96839.0
2017-02-05,96904.0
2017-02-06,96990.0
2017-02-07,97102.0
2017-02-08,97165.0
2017-02-09,97234.0
2017-02-10,97326.0
2017-02-11,97364.0
2017-02-12,97378.0
2017-02-13,97393.0
2017-02-14,97456.0
2017-02-15,97484.0
2017-02-16,97736.0
2017-02-17,97851.0
2017-02-18,97925.0
2017-02-19,97963.0
2017-02-20,98009.0
2017-02-21,98070.0
2017-02-22,98127.0
2017-02-23,98198.0
2017-02-24,98643.0
2017-02-25,98942.0
2017-02-26,99089.0
2017-02-27,99176.0
2017-02-28,99267.0
2017-03-01,99299.0
2017-03-02,99349.0
2017-03-03,99386.0
2017-03-04,99475.0
2017-03-05,99539.0
2017-03-06,99594.0
2017-03-07,99645.0
2017-03-08,99683.0
2017-03-09,99717.0
2017-03-10,99900.0
2017-03-11,100057.0
2017-03-12,100198.0
2017-03-13,100323.0
2017-03-14,100428.0
2017-03-15,100583.0
2017-03-16,100761.0
2017-03-17,100896.0
2017-03-18,101031.0
2017-03-19,101214.0
2017-03-20,101397.0
2017-03-21,101541.0
2017-03-22,101715.0
2017-03-23,101896.0
2017-03-24,102049.0
2017-03-25,102184.0
2017-03-26,102424.0
2017-03-27,102650.0
2017-03-28,102891.0
2017-03-29,103081.0
2017-03-30,103256.0
2017-03-31,103514.0
2017-04-01,103797.0
2017-04-02,104049.0
2017-04-03,104288.0
2017-04-04,104718.0
2017-04-05,105514.0
2017-04-06,106258.0
2017-04-07,106839.0
2017-04-08,107348.0
2017-04-09,107757.0
2017-04-10,108348.0
2017-04-11,108792.0
2017-04-12,109125.0
2017-04-13,109314.0
2017-04-14,109547.0
2017-04-15,109785.0
2017-04-16,109997.0
2017-04-17,110317.0
2017-04-18,110953.0
2017-04-19,111469.0
2017-04-20,112098.0
2017-04-21,112582.0
2017-04-22,112967.0
2017-04-23,113643.0
2017-04-24,114112.0
2017-04-25,114401.0
